C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[9].htm,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheck[10].htm,ccsetup574
C:\Windows\system32\bcrypt.dll,ccsetup574,CCleaner
C:\Windows\system32\bcryptprimitives.dll,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZMRJCI6P\installcheckUSMLZJP4.htm,ccsetup574,taskhost
C:\Users\User\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\SystemCertificates\My\CRLs\,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\SystemCertificates\My\CTLs\,ccsetup574
C:\Windows\system32\schannel.DLL,ccsetup574
C:\Users\User\AppData\Roaming\Microsoft\SystemCertificates\My,ccsetup574
C:\Windows\system32\ncrypt.dll,ccsetup574
C:\Windows\system32\GPAPI.dll,ccsetup574
C:\Windows\system32\p2pcollab.dll,ccsetup574
C:\Windows\system32\qagentrt.dll,ccsetup574
C:\Windows\system32\dnsapi.dll,ccsetup574
C:\Windows\System32\fveui.dll,ccsetup574
C:\Windows\System32\wuaueng.dll,ccsetup574
C:\Windows\system32\cryptnet.dll,ccsetup574
C:\Users\User\AppData\LocalLow,ccsetup574
C:\Users\User\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\,ccsetup574
C:\Users\User\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\EDC238BFF48A31D55A97E1E93892934B_C20E0DA2D0F89FE526E1490F4A2EE5AB,ccsetup574
C:\Users\User\AppData\LocalLow\Microsoft\CryptnetUrlCache\Content\EDC238BFF48A31D55A97E1E93892934B_C20E0DA2D0F89FE526E1490F4A2EE5AB,ccsetup574
C:\Windows\system32\SensApi.dll,ccsetup574
C:\Users\User\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\77EC63BDA74BD0D0E0426DC8F8008506,svchost
C:\Users\User\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\57C8EDB95DF3F0AD4EE2DC2B8CFD4157,svchost
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\Z9H4VN0E,ccsetup574
C:\Users\User\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\Z9H4VN0E\A7LSOFCT.txt,ccsetup574,taskhost
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\ui\pfUI.DLL,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\ui\pfUI.DLL.2.Config,csrss
C:\Windows\system32\OLEACC.dll,ccsetup574,CCleaner
C:\Windows\system32\dbghelp.dll,ccsetup574,CCleaner
C:\Windows\system32\WTSAPI32.dll,ccsetup574,CCUpdate
C:\Windows\system32\NETAPI32.dll,ccsetup574
